year,month,state,port,vessel_count,vessel_type,nrt,cargo,trade_type,nationality,port_id,port_id_available,year_month,is_coal,is_foreign_trade,is_coastal_trade,avg_nrt_per_vessel,coal_vessel_count,coal_nrt,foreign_coal_vessel_count,coastal_coal_vessel_count,activity_observation,vessel_class_mapping_available,data_completeness_pct,estimated_dwt,vessel_class
2024,4,Andhra Pradesh,Gangavaram,180,STV,9500000,Coal,Coastal,India,INGGV,1,2024-04,1,0,1,52777.77777777778,180,9500000,0,180,1,1,100.0,99750.0,Capesize
2024,4,Andhra Pradesh,Gangavaram,210,STV,11200000,Iron Ore,Foreign,Liberia,INGGV,1,2024-04,0,1,0,53333.333333333336,0,0,0,0,1,1,100.0,99750.0,Capesize
2024,4,Odisha,Gopalpur,45,STV,2100000,Ballast,Foreign,Liberia,INGPL,1,2024-04,0,1,0,46666.666666666664,0,0,0,0,1,1,100.0,73500.0,Panamax
2024,4,Odisha,Gopalpur,95,STV,4800000,Coal,Coastal,India,INGPL,1,2024-04,1,0,1,50526.31578947369,95,4800000,0,95,1,1,100.0,73500.0,Panamax
2024,4,Odisha,Gopalpur,120,STV,6200000,Coal,Foreign,Panama,INGPL,1,2024-04,1,1,0,51666.666666666664,120,6200000,120,0,1,1,100.0,73500.0,Panamax
2024,4,West Bengal,Haldia,75,STV,3200000,Ballast,Foreign,Liberia,INHLD,1,2024-04,0,1,0,42666.666666666664,0,0,0,0,1,1,100.0,63000.0,Panamax
2024,4,West Bengal,Haldia,160,STV,8900000,Coal,Coastal,India,INHLD,1,2024-04,1,0,1,55625.0,160,8900000,0,160,1,1,100.0,63000.0,Panamax
2024,4,West Bengal,Haldia,200,STV,15000000,Coal,Foreign,India,INHLD,1,2024-04,1,1,0,75000.0,200,15000000,200,0,1,1,100.0,63000.0,Panamax
2024,4,Maharashtra,JNPT,450,STV,9500000,Ballast,Foreign,Liberia,INNSA,1,2024-04,0,1,0,21111.11111111111,0,0,0,0,1,1,100.0,46444.444444444445,Supramax
2024,4,Maharashtra,JNPT,900,STV,18000000,Coal,Foreign,Panama,INNSA,1,2024-04,1,1,0,20000.0,900,18000000,900,0,1,1,100.0,44000.0,Supramax
2024,4,Maharashtra,JNPT,2925,STV,54683533,General,Coastal,India,INNSA,1,2024-04,0,0,1,18695.224957264956,0,0,0,0,1,1,100.0,41129.49490598291,Supramax
2024,4,Gujarat,Mundra,772,STV,2918281,Ballast,Foreign,Liberia,INMUN,1,2024-04,0,1,0,3780.1567357512954,0,0,0,0,1,1,100.0,8316.344818652851,Handysize/Coastal
2024,4,Gujarat,Mundra,2547,STV,73353243,General,Foreign,Panama,INMUN,1,2024-04,0,1,0,28799.859835100116,0,0,0,0,1,1,100.0,63359.69163722026,Panamax
2024,4,Odisha,Paradip,85,STV,3500000,Ballast,Foreign,Liberia,INPRD,1,2024-04,0,1,0,41176.470588235294,0,0,0,0,1,1,100.0,89250.0,Panamax
2024,4,Odisha,Paradip,210,STV,9800000,Coal,Coastal,India,INPRD,1,2024-04,1,0,1,46666.666666666664,210,9800000,0,210,1,1,100.0,89250.0,Panamax
2024,4,Odisha,Paradip,320,STV,14500000,Coal,Foreign,Panama,INPRD,1,2024-04,1,1,0,45312.5,320,14500000,320,0,1,1,100.0,89250.0,Panamax
2024,4,Maharashtra,Ratnagiri,1675,SV,4098016,Ballast,Coastal,India,INRRN,1,2024-04,0,0,1,2446.5767164179106,0,0,0,0,1,1,100.0,5382.468776119404,Handysize/Coastal
2024,4,Tamil Nadu,Tuticorin,772,STV,1837205,Ballast,Foreign,St. Kitts & Nevis,INTUT,1,2024-04,0,1,0,2379.7992227979275,0,0,0,0,1,1,100.0,5235.558290155441,Handysize/Coastal
2024,4,Tamil Nadu,Tuticorin,691,STV,2213330,Ballast,Foreign,Maldives,INTUT,1,2024-04,0,1,0,3203.082489146165,0,0,0,0,1,1,100.0,7046.781476121563,Handysize/Coastal
2024,4,Andhra Pradesh,Vizag,95,STV,4200000,Ballast,Foreign,Liberia,INVIZ,1,2024-04,0,1,0,44210.52631578947,0,0,0,0,1,1,100.0,68250.0,Panamax
2024,4,Andhra Pradesh,Vizag,190,STV,8700000,Coal,Coastal,India,INVIZ,1,2024-04,1,0,1,45789.47368421053,190,8700000,0,190,1,1,100.0,68250.0,Panamax
2024,4,Andhra Pradesh,Vizag,280,STV,12500000,Coal,Foreign,Panama,INVIZ,1,2024-04,1,1,0,44642.857142857145,280,12500000,280,0,1,1,100.0,68250.0,Panamax
2024,5,Andhra Pradesh,Gangavaram,155,STV,7600000,Ballast,Foreign,Panama,INGGV,1,2024-05,0,1,0,49032.25806451613,0,0,0,0,1,1,100.0,99750.0,Capesize
2024,5,Andhra Pradesh,Gangavaram,185,STV,9600000,Coal,Coastal,India,INGGV,1,2024-05,1,0,1,51891.89189189189,185,9600000,0,185,1,1,100.0,99750.0,Capesize
2024,5,Andhra Pradesh,Gangavaram,215,STV,11300000,Iron Ore,Foreign,Liberia,INGGV,1,2024-05,0,1,0,52558.13953488372,0,0,0,0,1,1,100.0,99750.0,Capesize
2024,5,Odisha,Gopalpur,50,STV,2200000,Ballast,Foreign,Liberia,INGPL,1,2024-05,0,1,0,44000.0,0,0,0,0,1,1,100.0,73500.0,Panamax
2024,5,Odisha,Gopalpur,100,STV,5000000,Coal,Coastal,India,INGPL,1,2024-05,1,0,1,50000.0,100,5000000,0,100,1,1,100.0,73500.0,Panamax
2024,5,Odisha,Gopalpur,125,STV,6400000,Coal,Foreign,Panama,INGPL,1,2024-05,1,1,0,51200.0,125,6400000,125,0,1,1,100.0,73500.0,Panamax
2024,5,West Bengal,Haldia,80,STV,3300000,Ballast,Foreign,Liberia,INHLD,1,2024-05,0,1,0,41250.0,0,0,0,0,1,1,100.0,63000.0,Panamax
2024,5,West Bengal,Haldia,165,STV,9000000,Coal,Coastal,India,INHLD,1,2024-05,1,0,1,54545.454545454544,165,9000000,0,165,1,1,100.0,63000.0,Panamax
2024,5,West Bengal,Haldia,205,STV,15200000,Coal,Foreign,India,INHLD,1,2024-05,1,1,0,74146.34146341463,205,15200000,205,0,1,1,100.0,63000.0,Panamax
2024,5,Odisha,Paradip,90,STV,3600000,Ballast,Foreign,Liberia,INPRD,1,2024-05,0,1,0,40000.0,0,0,0,0,1,1,100.0,88000.0,Panamax
2024,5,Odisha,Paradip,215,STV,9900000,Coal,Coastal,India,INPRD,1,2024-05,1,0,1,46046.51162790698,215,9900000,0,215,1,1,100.0,89250.0,Panamax
2024,5,Odisha,Paradip,310,STV,14200000,Coal,Foreign,Panama,INPRD,1,2024-05,1,1,0,45806.45161290323,310,14200000,310,0,1,1,100.0,89250.0,Panamax
2024,5,Andhra Pradesh,Vizag,100,STV,4300000,Ballast,Foreign,Liberia,INVIZ,1,2024-05,0,1,0,43000.0,0,0,0,0,1,1,100.0,68250.0,Panamax
2024,5,Andhra Pradesh,Vizag,185,STV,8600000,Coal,Coastal,India,INVIZ,1,2024-05,1,0,1,46486.48648648649,185,8600000,0,185,1,1,100.0,68250.0,Panamax
2024,5,Andhra Pradesh,Vizag,275,STV,12300000,Coal,Foreign,Panama,INVIZ,1,2024-05,1,1,0,44727.27272727273,275,12300000,275,0,1,1,100.0,68250.0,Panamax
