tender_id,tender_date,broker_id,origin,destination_port,cargo_type,vessel_class,route_id,quantity_mt,quoted_freight_usd_mt,contract_duration_days,market_freight_usd_mt,predicted_fair_value_usd_mt,fair_value_lower_usd_mt,fair_value_upper_usd_mt,bunker_price_usd_mt,congestion_index,predicted_waiting_hours,broker_historical_bid_count,broker_historical_premium_pct,vessel_historical_bid_count,broker_vessel_historical_frequency,synthetic_anomaly_ground_truth,bid_rank,winner,bid_deviation_pct,bid_spread_pct,fair_value_band_breach,high_positive_deviation_flag
TND-2023-0006,2024-05-23,BRK-AEGEAN,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,145990.0,18.23,38,18.54,17.96,16.52,19.4,556.5,0.44,60.1,56,-0.69,9,4,0,3,0,1.5,12.54,0,0
TND-2023-0006,2024-05-23,BRK-HORIZON,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,148888.0,18.58,25,18.54,17.96,16.52,19.4,556.5,0.44,60.1,63,-0.09,32,2,0,4,0,3.45,12.54,0,0
TND-2023-0006,2024-05-23,BRK-MERIDIAN,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,146050.0,18.85,21,18.54,17.96,16.52,19.4,556.5,0.44,60.1,77,-2.9,44,8,0,5,0,4.96,12.54,0,0
TND-2023-0007,2023-07-12,BRK-TRITON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,150063.0,16.33,15,17.41,16.87,15.52,18.22,525.5,0.19,10.9,61,-0.66,44,8,0,1,1,-3.2,11.39,0,0
TND-2023-0007,2023-07-12,BRK-APEX,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148013.0,16.7,26,17.41,16.87,15.52,18.22,525.5,0.19,10.9,25,6.22,16,14,0,2,0,-1.01,11.39,0,0
TND-2023-0007,2023-07-12,BRK-ZENITH,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,152179.0,17.05,26,17.41,16.87,15.52,18.22,525.5,0.19,10.9,40,4.54,31,12,0,3,0,1.07,11.39,0,0
TND-2023-0007,2023-07-12,BRK-PACIFIC,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,162433.0,17.85,41,17.41,16.87,15.52,18.22,525.5,0.19,10.9,58,4.28,9,12,0,4,0,5.81,11.39,0,0
TND-2023-0007,2023-07-12,BRK-MARITIME,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148055.0,18.19,39,17.41,16.87,15.52,18.22,525.5,0.19,10.9,74,-1.84,28,2,0,5,0,7.82,11.39,0,0
TND-2023-0008,2024-08-02,BRK-TRITON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,158641.0,18.66,22,19.18,19.39,17.84,20.94,589.3,0.25,21.9,48,1.7,28,2,0,1,1,-3.76,10.02,0,0
TND-2023-0008,2024-08-02,BRK-SOUTHERN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,161913.0,18.82,38,19.18,19.39,17.84,20.94,589.3,0.25,21.9,38,3.41,31,14,0,2,0,-2.94,10.02,0,0
TND-2023-0008,2024-08-02,BRK-HORIZON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,152326.0,19.21,25,19.18,19.39,17.84,20.94,589.3,0.25,21.9,52,-3.1,15,8,0,3,0,-0.93,10.02,0,0
TND-2023-0008,2024-08-02,BRK-GLOBAL,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,161453.0,19.52,43,19.18,19.39,17.84,20.94,589.3,0.25,21.9,22,0.5,35,12,0,4,0,0.67,10.02,0,0
TND-2023-0008,2024-08-02,BRK-PACIFIC,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148724.0,20.28,33,19.18,19.39,17.84,20.94,589.3,0.25,21.9,51,0.93,36,14,0,5,0,4.59,10.02,0,0
TND-2023-0008,2024-08-02,BRK-ZENITH,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,162113.0,20.52,18,19.18,19.39,17.84,20.94,589.3,0.25,21.9,50,-3.22,8,11,0,6,0,5.83,10.02,0,0
TND-2023-0008,2024-08-02,BRK-AEGEAN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,157365.0,20.53,40,19.18,19.39,17.84,20.94,589.3,0.25,21.9,63,2.82,19,14,0,7,0,5.88,10.02,0,0
TND-2023-0009,2024-12-22,BRK-SOUTHERN,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,144257.0,17.07,17,18.13,18.08,16.63,19.53,655.9,0.68,81.5,26,-0.27,31,12,0,1,1,-5.59,4.98,0,0
TND-2023-0009,2024-12-22,BRK-OCEANIC,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,147963.0,17.72,22,18.13,18.08,16.63,19.53,655.9,0.68,81.5,61,2.2,45,9,0,2,0,-1.99,4.98,0,0
TND-2023-0009,2024-12-22,BRK-HORIZON,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,152568.0,17.78,38,18.13,18.08,16.63,19.53,655.9,0.68,81.5,44,4.04,34,13,0,3,0,-1.66,4.98,0,0
TND-2023-0009,2024-12-22,BRK-PACIFIC,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,149069.0,17.92,43,18.13,18.08,16.63,19.53,655.9,0.68,81.5,31,2.65,12,2,0,4,0,-0.88,4.98,0,0
TND-2023-0010,2023-05-08,BRK-TRITON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,157884.0,18.5,32,19.11,19.85,18.26,21.44,706.6,0.82,42.5,71,-4.51,33,7,0,1,1,-6.8,16.92,0,0
TND-2023-0010,2023-05-08,BRK-HORIZON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,154357.0,19.87,23,19.11,19.85,18.26,21.44,706.6,0.82,42.5,16,-3.31,25,7,0,2,0,0.1,16.92,0,0
TND-2023-0010,2023-05-08,BRK-APEX,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148964.0,21.63,38,19.11,19.85,18.26,21.44,706.6,0.82,42.5,10,3.07,18,11,0,3,0,8.97,16.92,1,0
TND-2023-0010,2023-05-08,BRK-GLOBAL,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148900.0,21.63,39,19.11,19.85,18.26,21.44,706.6,0.82,42.5,13,0.08,44,11,0,4,0,8.97,16.92,1,0
TND-2023-0011,2023-01-24,BRK-PACIFIC,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,143102.0,14.87,39,15.9,15.45,14.21,16.69,722.0,0.29,38.0,18,4.77,39,12,0,1,1,-3.75,12.04,0,0
TND-2023-0011,2023-01-24,BRK-SOUTHERN,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,151589.0,16.35,15,15.9,15.45,14.21,16.69,722.0,0.29,38.0,73,1.15,6,3,0,2,0,5.83,12.04,0,0
TND-2023-0011,2023-01-24,BRK-MERIDIAN,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,151950.0,16.47,37,15.9,15.45,14.21,16.69,722.0,0.29,38.0,17,1.21,10,8,0,3,0,6.6,12.04,0,0
TND-2023-0011,2023-01-24,BRK-EASTERN,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,154514.0,16.66,15,15.9,15.45,14.21,16.69,722.0,0.29,38.0,77,-5.5,15,4,0,4,0,7.83,12.04,0,0
TND-2023-0012,2024-03-24,BRK-GLOBAL,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,73336.0,16.18,18,16.04,16.53,15.21,17.85,704.5,0.27,13.3,73,7.73,26,14,0,1,1,-2.12,6.49,0,0
TND-2023-0012,2024-03-24,BRK-ALLIANCE,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,75063.0,16.44,18,16.04,16.53,15.21,17.85,704.5,0.27,13.3,28,4.84,34,3,0,2,0,-0.54,6.49,0,0
TND-2023-0012,2024-03-24,BRK-PACIFIC,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,74339.0,16.45,33,16.04,16.53,15.21,17.85,704.5,0.27,13.3,53,2.5,24,6,0,3,0,-0.48,6.49,0,0
TND-2023-0012,2024-03-24,BRK-MERIDIAN,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,71520.0,16.48,23,16.04,16.53,15.21,17.85,704.5,0.27,13.3,68,-4.72,14,9,0,4,0,-0.3,6.49,0,0
TND-2023-0012,2024-03-24,BRK-EASTERN,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,77156.0,16.83,23,16.04,16.53,15.21,17.85,704.5,0.27,13.3,48,2.06,34,9,0,5,0,1.81,6.49,0,0
TND-2023-0012,2024-03-24,BRK-MARITIME,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,76023.0,16.89,38,16.04,16.53,15.21,17.85,704.5,0.27,13.3,36,-0.46,49,8,0,6,0,2.18,6.49,0,0
TND-2023-0012,2024-03-24,BRK-VANGUARD,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,75585.0,17.22,23,16.04,16.53,15.21,17.85,704.5,0.27,13.3,41,5.46,11,8,0,7,0,4.17,6.49,0,0
TND-2023-0012,2024-03-24,BRK-APEX,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,75493.0,17.23,31,16.04,16.53,15.21,17.85,704.5,0.27,13.3,43,4.82,26,2,0,8,0,4.23,6.49,0,0
TND-2023-0013,2023-07-16,BRK-GLOBAL,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,71699.0,21.99,23,23.55,23.59,21.7,25.48,728.0,0.37,45.8,49,0.57,20,11,0,1,1,-6.78,13.01,0,0
TND-2023-0013,2023-07-16,BRK-EASTERN,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,67646.0,22.56,30,23.55,23.59,21.7,25.48,728.0,0.37,45.8,33,3.87,5,11,0,2,0,-4.37,13.01,0,0
TND-2023-0013,2023-07-16,BRK-AEGEAN,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,66889.0,23.0,40,23.55,23.59,21.7,25.48,728.0,0.37,45.8,12,3.5,10,13,0,3,0,-2.5,13.01,0,0
TND-2023-0013,2023-07-16,BRK-HORIZON,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,67575.0,24.21,25,23.55,23.59,21.7,25.48,728.0,0.37,45.8,40,-2.99,42,6,0,4,0,2.63,13.01,0,0
TND-2023-0013,2023-07-16,BRK-NAVIGATOR,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,69215.0,24.36,35,23.55,23.59,21.7,25.48,728.0,0.37,45.8,39,2.9,18,3,0,5,0,3.26,13.01,0,0
TND-2023-0013,2023-07-16,BRK-APEX,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,73468.0,24.85,43,23.55,23.59,21.7,25.48,728.0,0.37,45.8,56,-7.39,10,8,0,6,0,5.34,13.01,0,0
TND-2023-0014,2024-02-22,BRK-SOUTHERN,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,137856.0,31.84,32,32.84,32.67,30.06,35.28,642.0,0.26,15.1,58,2.06,25,2,0,1,1,-2.54,10.65,0,0
TND-2023-0014,2024-02-22,BRK-EASTERN,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,138593.0,32.3,37,32.84,32.67,30.06,35.28,642.0,0.26,15.1,48,0.74,34,12,0,2,0,-1.13,10.65,0,0
TND-2023-0014,2024-02-22,BRK-TRITON,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,144858.0,33.45,23,32.84,32.67,30.06,35.28,642.0,0.26,15.1,75,-3.2,7,3,0,3,0,2.39,10.65,0,0
TND-2023-0014,2024-02-22,BRK-GLOBAL,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,151051.0,33.68,26,32.84,32.67,30.06,35.28,642.0,0.26,15.1,36,-1.17,20,1,0,4,0,3.09,10.65,0,0
TND-2023-0014,2024-02-22,BRK-APEX,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,149982.0,33.72,21,32.84,32.67,30.06,35.28,642.0,0.26,15.1,60,-0.86,27,4,0,5,0,3.21,10.65,0,0
TND-2023-0014,2024-02-22,BRK-ALLIANCE,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,144747.0,34.4,40,32.84,32.67,30.06,35.28,642.0,0.26,15.1,62,3.49,29,14,0,6,0,5.3,10.65,0,0
TND-2023-0014,2024-02-22,BRK-MERIDIAN,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,146263.0,34.83,42,32.84,32.67,30.06,35.28,642.0,0.26,15.1,58,1.24,43,7,0,7,0,6.61,10.65,0,0
TND-2023-0014,2024-02-22,BRK-OCEANIC,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,138110.0,35.23,19,32.84,32.67,30.06,35.28,642.0,0.26,15.1,37,4.2,12,5,0,8,0,7.84,10.65,0,0
TND-2023-0015,2023-06-20,BRK-TRITON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,152621.0,21.42,37,21.74,22.55,20.75,24.35,723.3,0.76,39.1,20,6.96,17,14,0,1,1,-5.01,14.47,0,0
TND-2023-0015,2023-06-20,BRK-SOUTHERN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,147823.0,22.32,39,21.74,22.55,20.75,24.35,723.3,0.76,39.1,47,3.12,41,7,0,2,0,-1.02,14.47,0,0
TND-2023-0015,2023-06-20,BRK-EASTERN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,162526.0,22.65,29,21.74,22.55,20.75,24.35,723.3,0.76,39.1,30,0.23,6,14,0,3,0,0.44,14.47,0,0
TND-2023-0015,2023-06-20,BRK-MERIDIAN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148565.0,22.98,38,21.74,22.55,20.75,24.35,723.3,0.76,39.1,32,3.05,49,2,0,4,0,1.91,14.47,0,0
TND-2023-0015,2023-06-20,BRK-ZENITH,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,158306.0,23.76,34,21.74,22.55,20.75,24.35,723.3,0.76,39.1,76,-1.6,7,14,0,5,0,5.37,14.47,0,0
TND-2023-0015,2023-06-20,BRK-HORIZON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,162282.0,24.52,34,21.74,22.55,20.75,24.35,723.3,0.76,39.1,66,-1.01,24,14,0,6,0,8.74,14.47,1,0
TND-2023-0016,2023-01-09,BRK-NAVIGATOR,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,140679.0,28.47,16,30.09,30.52,28.08,32.96,527.7,0.43,55.7,34,6.5,11,2,0,1,1,-6.72,16.82,0,0
TND-2023-0016,2023-01-09,BRK-AEGEAN,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,150605.0,29.3,22,30.09,30.52,28.08,32.96,527.7,0.43,55.7,59,0.57,31,2,0,2,0,-4.0,16.82,0,0
TND-2023-0016,2023-01-09,BRK-SOUTHERN,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,150123.0,29.84,24,30.09,30.52,28.08,32.96,527.7,0.43,55.7,27,-5.74,15,8,0,3,0,-2.23,16.82,0,0
TND-2023-0016,2023-01-09,BRK-MARITIME,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,151022.0,30.81,26,30.09,30.52,28.08,32.96,527.7,0.43,55.7,69,-3.69,36,1,0,4,0,0.95,16.82,0,0
TND-2023-0016,2023-01-09,BRK-HORIZON,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,143846.0,33.07,24,30.09,30.52,28.08,32.96,527.7,0.43,55.7,31,2.03,25,13,0,5,0,8.36,16.82,1,0
TND-2023-0016,2023-01-09,BRK-APEX,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,146086.0,33.25,18,30.09,30.52,28.08,32.96,527.7,0.43,55.7,54,0.49,18,8,0,6,0,8.94,16.82,1,0
TND-2023-0016,2023-01-09,BRK-VANGUARD,New Orleans,PAR,Coking Coal,Capesize,USA_PAR_CAP,149458.0,33.26,36,30.09,30.52,28.08,32.96,527.7,0.43,55.7,57,3.07,8,7,0,7,0,8.98,16.82,1,0
TND-2023-0017,2025-08-20,BRK-AEGEAN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,153961.0,19.34,29,20.28,20.67,19.02,22.32,673.6,0.61,42.7,39,0.23,34,11,0,1,1,-6.43,16.39,0,0
TND-2023-0017,2025-08-20,BRK-MARITIME,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,151064.0,19.44,15,20.28,20.67,19.02,22.32,673.6,0.61,42.7,75,-0.98,48,5,0,2,0,-5.95,16.39,0,0
TND-2023-0017,2025-08-20,BRK-APEX,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,155964.0,19.56,19,20.28,20.67,19.02,22.32,673.6,0.61,42.7,51,0.19,35,7,0,3,0,-5.37,16.39,0,0
TND-2023-0017,2025-08-20,BRK-MERIDIAN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148040.0,19.59,23,20.28,20.67,19.02,22.32,673.6,0.61,42.7,78,0.9,25,12,0,4,0,-5.22,16.39,0,0
TND-2023-0017,2025-08-20,BRK-GLOBAL,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,151640.0,21.08,41,20.28,20.67,19.02,22.32,673.6,0.61,42.7,30,2.55,19,5,0,5,0,1.98,16.39,0,0
TND-2023-0017,2025-08-20,BRK-NAVIGATOR,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,154632.0,22.51,27,20.28,20.67,19.02,22.32,673.6,0.61,42.7,27,1.0,40,9,0,6,0,8.9,16.39,1,0
TND-2023-0018,2024-09-27,BRK-VANGUARD,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,71481.0,19.67,28,20.04,20.62,18.97,22.27,520.3,0.51,45.4,27,-1.92,46,7,0,1,1,-4.61,12.91,0,0
TND-2023-0018,2024-09-27,BRK-OCEANIC,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,66565.0,19.8,42,20.04,20.62,18.97,22.27,520.3,0.51,45.4,52,0.94,7,1,0,2,0,-3.98,12.91,0,0
TND-2023-0018,2024-09-27,BRK-NAVIGATOR,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,68322.0,20.24,40,20.04,20.62,18.97,22.27,520.3,0.51,45.4,38,0.45,24,7,0,3,0,-1.84,12.91,0,0
