month,origin_country,destination_country,quantity_mt,value_usd
2021-05,Russia,India,1139452,109706438.56
2021-05,USA,India,420854,32616185.0
2021-06,Australia,India,3033044,394204728.68
2021-06,Indonesia,India,3087465,309765363.45
2021-06,Mozambique,India,477337,53896120.67
2021-06,Russia,India,654601,70840920.22
2021-06,USA,India,565494,46602360.54
2021-07,Australia,India,2204535,335023183.95
2021-07,Indonesia,India,2689993,310290692.55
2021-07,Mozambique,India,358390,44297004.0
2021-07,Russia,India,994616,125013285.04
2021-07,USA,India,500159,44359101.71
2021-08,Australia,India,2248416,381286385.28
2021-08,Indonesia,India,3675093,481400432.07
2021-08,Mozambique,India,330106,47122631.5
2021-08,Russia,India,916829,132179236.93
2021-08,USA,India,554468,54376676.76
2021-09,Australia,India,2398583,445392877.27
2021-09,Indonesia,India,4305745,645990922.35
2021-09,Mozambique,India,362814,56881978.92
2021-09,Russia,India,1141004,174767582.68
2021-09,USA,India,656334,64051635.06
2021-10,Australia,India,3129729,702655457.79
2021-10,Indonesia,India,2920583,472053830.29
2021-10,Mozambique,India,292127,48145450.87
2021-10,Russia,India,720131,124402630.25
2021-10,USA,India,419174,44092913.06
2021-11,Australia,India,3024306,476267708.88
2021-11,Indonesia,India,3534754,760007457.54
2021-11,Mozambique,India,356774,62178572.72
2021-11,Russia,India,864127,155274980.63
2021-11,USA,India,286627,31743940.25
2021-12,Australia,India,1696539,287817841.35
2021-12,Indonesia,India,3270297,522560757.63
2021-12,Mozambique,India,292286,51258195.82
2021-12,Russia,India,840409,165972373.41
2021-12,USA,India,409152,48063085.44
2022-01,Australia,India,2103205,414226224.75
2022-01,Indonesia,India,2614785,414443422.5
2022-01,Mozambique,India,417718,90147721.58
2022-01,Russia,India,984250,230964105.0
2022-01,USA,India,387653,55058355.59
2022-02,Australia,India,1992209,437847694.02
2022-02,Indonesia,India,3157224,502472199.6
2022-02,Mozambique,India,220623,53441509.29
2022-02,Russia,India,1015506,267900637.86
2022-02,USA,India,411382,75406320.6
2022-03,Australia,India,2649593,832078185.72
2022-03,Indonesia,India,4894055,749867107.1
2022-03,Mozambique,India,259630,74703339.9
2022-03,Russia,India,702875,209639497.5
2022-03,USA,India,494567,104986682.76
2022-04,Australia,India,1964813,610762121.05
2022-04,Indonesia,India,3304033,505583129.66
2022-04,Mozambique,India,322050,95516809.5
2022-04,Russia,India,1783048,560144529.2
2022-04,USA,India,331254,76725051.48
2022-05,Australia,India,2232066,830016062.76
2022-05,Indonesia,India,4603595,691367897.1
2022-05,Mozambique,India,311905,98346765.55
2022-05,Russia,India,1644194,556230830.2
2022-05,USA,India,487801,118911249.77
2022-06,Australia,India,2609245,976066369.6
2022-06,Indonesia,India,4519083,676325961.78
2022-06,Mozambique,India,382235,127448616.05
2022-06,Russia,India,1991667,719210870.37
2022-06,USA,India,394219,98298507.65
2022-07,Australia,India,2897575,1165404665.0
2022-07,Indonesia,India,4227963,622313873.97
2022-07,Mozambique,India,329313,112071800.16
2022-07,Russia,India,1461374,541424453.26
2022-07,USA,India,584889,146731103.43
2022-08,Australia,India,2312115,940961441.55
2022-08,Indonesia,India,4214506,617172258.64
2022-08,Mozambique,India,456957,150507927.09
2022-08,Russia,India,1641928,580749933.6
2022-08,USA,India,519532,132537808.52
2022-09,Australia,India,2573681,1108767511.61
2022-09,Indonesia,India,5014596,723305327.04
2022-09,Mozambique,India,372538,119879003.02
2022-09,Russia,India,2033848,733914050.8
2022-09,USA,India,404244,99132756.12
2022-10,Australia,India,2180541,849953076.39
2022-10,Indonesia,India,3327662,479016944.9
2022-10,Mozambique,India,285851,80981588.3
2022-10,Russia,India,2007423,659538826.65
2022-10,USA,India,475508,109233697.76
2022-11,Australia,India,2188590,748847954.4
2022-11,Indonesia,India,3949067,561675799.41
2022-11,Mozambique,India,360419,96520208.2
2022-11,Russia,India,1450313,419096947.61
2022-11,USA,India,410827,92284069.01
2022-12,Australia,India,2367185,897707567.55
2022-12,Indonesia,India,2904057,410169010.68
2022-12,Mozambique,India,335896,77131798.48
2022-12,Russia,India,1640272,424092325.6
2022-12,USA,India,362769,76547886.69
2023-01,Australia,India,1624048,516431023.52
2023-01,Indonesia,India,3348262,477663056.92
2023-01,Mozambique,India,364711,83154108.0
2023-01,Russia,India,1804987,439424085.15
2023-01,USA,India,314963,57688623.08
2023-02,Australia,India,2264681,469876013.88
2023-02,Indonesia,India,4236520,562948777.6
2023-02,Mozambique,India,233288,45698786.32
2023-02,Russia,India,1472409,319012133.94
2023-02,USA,India,497948,87001474.56
2023-03,Australia,India,2508692,469702403.16
2023-03,Indonesia,India,4219786,586465858.28
2023-03,Mozambique,India,459269,80840529.38
2023-03,Russia,India,1835370,322602984.9
2023-03,USA,India,570559,81316068.68
2023-04,Australia,India,2199157,427252221.96
2023-04,Indonesia,India,3810177,507477474.63
2023-04,Mozambique,India,289214,46849775.86
2023-04,Russia,India,1729015,287915577.8
2023-04,USA,India,417204,55417207.32
2023-05,Australia,India,1946968,312449424.64
2023-05,Indonesia,India,4261787,549472197.91
2023-05,Mozambique,India,375482,53645113.34
2023-05,Russia,India,1634663,250544798.01
2023-05,USA,India,468943,62285009.26
2023-06,Australia,India,2344193,326827388.06
2023-06,Indonesia,India,4128037,537016333.33
2023-06,Mozambique,India,304227,40109287.68
2023-06,Russia,India,1825144,257929350.08
2023-06,USA,India,409853,48858576.13
2023-07,Australia,India,2335153,328392566.39
2023-07,Indonesia,India,3414767,440948862.71
2023-07,Mozambique,India,489004,61071709.56
2023-07,Russia,India,1458765,198377452.35
2023-07,USA,India,539731,60228582.29
2023-08,Australia,India,1779554,271577735.94
2023-08,Indonesia,India,5006004,650630339.88
2023-08,Mozambique,India,265343,33475672.88
2023-08,Russia,India,1836688,236657248.8
2023-08,USA,India,435339,46851183.18
2023-09,Australia,India,2604454,423145641.38
2023-09,Indonesia,India,2837021,348783361.74
2023-09,Mozambique,India,328337,36970746.2
2023-09,Russia,India,1791010,227691101.3
2023-09,USA,India,523981,53587536.87
2023-10,Australia,India,1935972,275140340.64
2023-10,Indonesia,India,2398394,297304920.24
2023-10,Mozambique,India,325284,35738953.08
2023-10,Russia,India,1587044,198507463.52
2023-10,USA,India,456262,45822392.66
2023-11,Australia,India,2008829,254759693.78
2023-11,Indonesia,India,3024050,422762190.0
2023-11,Mozambique,India,336437,36284730.45
2023-11,Russia,India,1956179,221987192.92
2023-11,USA,India,500129,47692301.44
2023-12,Australia,India,2031254,288072442.28
2023-12,Indonesia,India,4239797,497667371.86
2023-12,Mozambique,India,252630,25422156.9
2023-12,Russia,India,1604880,179537925.6
2023-12,USA,India,442532,39898685.12
2024-01,Australia,India,2035990,254295151.0
2024-01,Indonesia,India,3321495,418010145.75
2024-01,Mozambique,India,349396,34485385.2
2024-01,Russia,India,2027467,223284940.71
2024-01,USA,India,445395,41426188.95
2024-02,Australia,India,2372987,294772445.14
2024-02,Indonesia,India,5053991,631496175.45
2024-02,Mozambique,India,181159,18249957.66
2024-02,Russia,India,1653726,183249378.06
2024-02,USA,India,527592,48364358.64
2024-03,Australia,India,1563650,205604338.5
2024-03,Indonesia,India,3484215,382462280.55
2024-03,Mozambique,India,440766,44014892.76
2024-03,Russia,India,1727943,180932911.53
2024-03,USA,India,469094,44151127.28
2024-04,Australia,India,3106171,419239899.87
2024-04,Indonesia,India,2387175,289158507.75
2024-04,Mozambique,India,427347,43076577.6
2024-04,Russia,India,1485139,162741531.62
2024-04,USA,India,486411,43130063.37
2024-05,Australia,India,2459017,349205004.17
2024-05,Indonesia,India,3908548,474106872.4
2024-05,Mozambique,India,332671,36191278.09
2024-05,Russia,India,1859025,211668586.5
2024-05,USA,India,489358,45285189.32
2024-06,Australia,India,2566601,346747795.1
2024-06,Indonesia,India,4552018,545559357.3
2024-06,Mozambique,India,392816,41434231.68
2024-06,Russia,India,2020988,235303632.84
2024-06,USA,India,413120,38321011.2
2024-07,Australia,India,1392623,191555293.65
2024-07,Indonesia,India,2457910,290230012.8
2024-07,Mozambique,India,337978,36897058.26
2024-07,Russia,India,1482331,172750854.74
2024-07,USA,India,417622,39540450.96
2024-08,Australia,India,2243503,327012997.28
2024-08,Indonesia,India,4940245,590359277.5
2024-08,Mozambique,India,266621,28917713.66
2024-08,Russia,India,1793626,192635432.4
2024-08,USA,India,333485,31867826.6
2024-09,Australia,India,2583489,359621668.8
2024-09,Indonesia,India,2206120,250659354.4
2024-09,Mozambique,India,456304,47482994.24
2024-09,Russia,India,1661340,166300134.0
2024-09,USA,India,645514,57670220.76
2024-10,Australia,India,2298067,336965564.21
2024-10,Indonesia,India,3116559,355692878.67
2024-10,Mozambique,India,321470,28929085.3
2024-10,Russia,India,1593263,164679663.68
2024-10,USA,India,477024,40194042.24
2024-11,Australia,India,2737098,388996367.76
2024-11,Indonesia,India,4001589,457061495.58
2024-11,Mozambique,India,330192,29380484.16
2024-11,Russia,India,1663637,160208243.1
2024-11,USA,India,604986,49802447.52
2024-12,Australia,India,1801112,233802348.72
2024-12,Indonesia,India,4360463,473938723.47
2024-12,Mozambique,India,291224,26748924.4
2024-12,Russia,India,1573049,142565430.87
2024-12,USA,India,510447,42137399.85
2025-01,Australia,India,1520854,180373284.4
2025-01,Indonesia,India,5039827,574691472.81
2025-01,Mozambique,India,467827,39241328.76
2025-01,Russia,India,1541769,138928804.59
2025-01,USA,India,353857,27604384.57
2025-02,Australia,India,2141277,228966749.61
2025-02,Indonesia,India,3582512,387842749.12
2025-02,Mozambique,India,301947,25321275.42
2025-02,Russia,India,1898729,168113465.66
2025-02,USA,India,664805,52173896.4
2025-03,Australia,India,2161400,224720758.0
2025-03,Indonesia,India,4338742,471794805.08
2025-03,Mozambique,India,322946,26381458.74
2025-03,Russia,India,1713362,143202795.96
2025-03,USA,India,402662,32619648.62
2025-04,Australia,India,2165254,213515696.94
2025-04,Indonesia,India,3934841,442394173.63
2025-04,Mozambique,India,327113,26905044.25
2025-04,Russia,India,1751164,156151293.88
2025-04,USA,India,389311,31214955.98
2025-05,Australia,India,2368274,247271488.34
2025-05,Indonesia,India,2606333,273404331.7
2025-05,Mozambique,India,387500,32379500.0
2025-05,Russia,India,1682235,146186221.5
2025-05,USA,India,495633,39110400.03
2025-06,Australia,India,2178458,237517275.74
2025-06,Indonesia,India,3750664,391719348.16
2025-06,Mozambique,India,356157,31238530.47
2025-06,Russia,India,1643048,145754788.08
2025-06,USA,India,451264,35446787.2
2025-07,Australia,India,1334582,150674307.8
2025-07,Indonesia,India,3255782,350680279.22
2025-07,Mozambique,India,368018,33618444.3
2025-07,Russia,India,1480614,136216488.0
2025-07,USA,India,650050,51802484.5
2025-08,Australia,India,2826835,317029545.25
2025-08,Indonesia,India,2696667,272633033.7
2025-08,Mozambique,India,465618,42124460.46
2025-08,Russia,India,1793166,158246899.5
2025-08,USA,India,504154,38285454.76
2025-09,Australia,India,2821424,299973799.68
2025-09,Indonesia,India,3434148,348016558.32
2025-09,Mozambique,India,377127,32067108.81
2025-09,Russia,India,1875057,165792539.94
2025-09,USA,India,390468,31174965.12
2025-10,Australia,India,2120637,227968477.5
2025-10,Indonesia,India,3856181,389127224.71
2025-10,Mozambique,India,375858,30767735.88
2025-10,Russia,India,1542312,129677592.96
2025-10,USA,India,445017,33936996.42
