horizon,feature,importance
30-day,route_id_USA_VIZ_PAN,8.2761635e-06
30-day,origin_Australia,0.0052477024
30-day,origin_Indonesia,0.06569791
30-day,origin_Mozambique,0.00086013036
30-day,origin_Russia,0.0020078141
30-day,origin_USA,0.9046593
30-day,destination_port_Dhamra,9.719197e-06
30-day,destination_port_Gangavaram,1.2152602e-05
30-day,destination_port_Gopalpur,1.4400113e-05
30-day,destination_port_Haldia,1.602504e-05
30-day,destination_port_Paradip,1.0650117e-05
30-day,destination_port_Vizag,9.16687e-06
30-day,vessel_class_Panamax,0.0
30-day,cargo_type_Coal,0.0
30-day,distance_nm,0.013194064
30-day,synthetic_bunker_price_usd_mt,1.7920836e-05
30-day,freight_usd_mt,0.004308818
30-day,freight_lag_1d,0.0017037354
30-day,freight_lag_7d,8.319064e-06
30-day,freight_lag_30d,0.0005133176
30-day,freight_lag_60d,8.394552e-05
30-day,freight_lag_90d,1.9002679e-05
30-day,freight_rolling_mean_7d,0.0011526033
30-day,freight_rolling_mean_30d,1.7032555e-05
30-day,year,5.7808014e-05
30-day,month,3.0707917e-05
30-day,day_of_week,5.6412535e-08
30-day,day_of_year,4.265584e-05
60-day,route_id_AUS_DHA_PAN,3.7279385e-06
60-day,route_id_AUS_GAN_PAN,7.043083e-06
60-day,route_id_AUS_GOP_PAN,7.846228e-06
60-day,route_id_AUS_HAL_PAN,7.4905714e-05
60-day,route_id_AUS_PAR_PAN,8.942333e-06
60-day,route_id_AUS_VIZ_PAN,3.76966e-06
60-day,route_id_IDN_DHA_PAN,1.2196028e-06
60-day,route_id_IDN_GAN_PAN,6.3549483e-06
60-day,route_id_IDN_GOP_PAN,5.0488916e-06
60-day,route_id_IDN_HAL_PAN,2.4899362e-05
60-day,route_id_IDN_PAR_PAN,2.3593507e-06
60-day,route_id_IDN_VIZ_PAN,2.1140524e-06
60-day,route_id_MOZ_DHA_PAN,6.0534394e-06
60-day,route_id_MOZ_GAN_PAN,6.096857e-06
60-day,route_id_MOZ_GOP_PAN,1.0770575e-05
60-day,route_id_MOZ_HAL_PAN,4.4045835e-05
60-day,route_id_MOZ_PAR_PAN,4.1659446e-06
60-day,route_id_MOZ_VIZ_PAN,7.002499e-06
60-day,route_id_RUS_DHA_PAN,1.228768e-05
60-day,route_id_RUS_GAN_PAN,7.816882e-06
60-day,route_id_RUS_GOP_PAN,1.0596955e-05
60-day,route_id_RUS_HAL_PAN,3.7860904e-05
60-day,route_id_RUS_PAR_PAN,1.7530852e-05
60-day,route_id_RUS_VIZ_PAN,8.242925e-06
60-day,route_id_USA_DHA_PAN,1.5954218e-05
60-day,route_id_USA_GAN_PAN,1.8914725e-05
60-day,route_id_USA_GOP_PAN,2.7050743e-05
60-day,route_id_USA_HAL_PAN,6.683629e-05
60-day,route_id_USA_PAR_PAN,3.325046e-05
60-day,route_id_USA_VIZ_PAN,1.0934799e-05
60-day,origin_Australia,0.015621285
60-day,origin_Indonesia,0.052407607
60-day,origin_Mozambique,0.008615573
60-day,origin_Russia,0.00637714
60-day,origin_USA,0.8930497
60-day,destination_port_Dhamra,1.6738823e-05
60-day,destination_port_Gangavaram,1.623847e-05
60-day,destination_port_Gopalpur,2.872804e-05
60-day,destination_port_Haldia,6.6331064e-05
60-day,destination_port_Paradip,2.2010341e-05
60-day,destination_port_Vizag,9.90979e-06
60-day,vessel_class_Panamax,0.0
60-day,cargo_type_Coal,0.0
60-day,distance_nm,0.018066974
60-day,synthetic_bunker_price_usd_mt,2.7245796e-05
60-day,freight_usd_mt,0.0019261409
60-day,freight_lag_1d,0.0016118508
60-day,freight_lag_7d,1.255871e-05
60-day,freight_lag_30d,1.6573998e-05
60-day,freight_lag_60d,1.26755185e-05
60-day,freight_lag_90d,5.597459e-05
60-day,freight_rolling_mean_7d,0.0011989991
60-day,freight_rolling_mean_30d,3.6401736e-05
60-day,year,0.00012671419
60-day,month,9.125369e-05
60-day,day_of_week,7.6840706e-08
60-day,day_of_year,9.150041e-05
90-day,route_id_AUS_DHA_PAN,3.264687e-06
90-day,route_id_AUS_GAN_PAN,1.187965e-05
90-day,route_id_AUS_GOP_PAN,6.656999e-06
90-day,route_id_AUS_HAL_PAN,0.00013292345
90-day,route_id_AUS_PAR_PAN,9.090974e-06
90-day,route_id_AUS_VIZ_PAN,2.8585366e-06
90-day,route_id_IDN_DHA_PAN,1.1009291e-06
90-day,route_id_IDN_GAN_PAN,6.309346e-06
90-day,route_id_IDN_GOP_PAN,4.323111e-06
90-day,route_id_IDN_HAL_PAN,7.2140945e-05
90-day,route_id_IDN_PAR_PAN,2.5951242e-06
90-day,route_id_IDN_VIZ_PAN,1.8564733e-06
90-day,route_id_MOZ_DHA_PAN,4.5400934e-06
90-day,route_id_MOZ_GAN_PAN,6.607566e-06
90-day,route_id_MOZ_GOP_PAN,1.2083421e-05
90-day,route_id_MOZ_HAL_PAN,5.722519e-05
90-day,route_id_MOZ_PAR_PAN,2.5580252e-05
90-day,route_id_MOZ_VIZ_PAN,5.1916786e-06
90-day,route_id_RUS_DHA_PAN,8.937859e-06
90-day,route_id_RUS_GAN_PAN,1.6298842e-05
90-day,route_id_RUS_GOP_PAN,1.0841097e-05
90-day,route_id_RUS_HAL_PAN,5.6191115e-05
90-day,route_id_RUS_PAR_PAN,2.0660747e-05
90-day,route_id_RUS_VIZ_PAN,9.948759e-06
90-day,route_id_USA_DHA_PAN,1.581158e-05
90-day,route_id_USA_GAN_PAN,1.9023511e-05
90-day,route_id_USA_GOP_PAN,2.083366e-05
90-day,route_id_USA_HAL_PAN,7.243565e-05
90-day,route_id_USA_PAR_PAN,3.0010415e-05
90-day,route_id_USA_VIZ_PAN,9.60023e-06
90-day,origin_Australia,0.01376801
90-day,origin_Indonesia,0.04869321
90-day,origin_Mozambique,0.0068111466
90-day,origin_Russia,0.009131987
90-day,origin_USA,0.897106
90-day,destination_port_Dhamra,7.653628e-06
90-day,destination_port_Gangavaram,1.7587572e-05
90-day,destination_port_Gopalpur,2.012571e-05
90-day,destination_port_Haldia,7.176275e-05
90-day,destination_port_Paradip,3.5122026e-05
90-day,destination_port_Vizag,7.4347568e-06
90-day,vessel_class_Panamax,0.0
90-day,cargo_type_Coal,0.0
90-day,distance_nm,0.019051125
90-day,synthetic_bunker_price_usd_mt,2.7838623e-05
90-day,freight_usd_mt,0.0016147181
90-day,freight_lag_1d,0.0013939945
90-day,freight_lag_7d,5.6801264e-06
90-day,freight_lag_30d,1.8153478e-05
90-day,freight_lag_60d,3.9317674e-05
90-day,freight_lag_90d,2.247113e-05
90-day,freight_rolling_mean_7d,0.0010328055
90-day,freight_rolling_mean_30d,2.1096856e-05
90-day,year,0.0002650769
90-day,month,6.731106e-05
90-day,day_of_week,3.5050142e-08
90-day,day_of_year,0.000113495174
