event_id,event_type,region,severity,start,end,affected_routes
EVT0012,Cyclone,India - Gopalpur,High,2022-11-30,2022-12-03,AUS_GOP_CAP;AUS_GOP_PAN;IND_GOP_CAP;IND_GOP_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;RUS_GOP_CAP;RUS_GOP_PAN;USA_GOP_CAP;USA_GOP_PAN
EVT0013,Cyclone,India - Gopalpur,High,2022-12-21,2022-12-24,AUS_GOP_CAP;AUS_GOP_PAN;IND_GOP_CAP;IND_GOP_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;RUS_GOP_CAP;RUS_GOP_PAN;USA_GOP_CAP;USA_GOP_PAN
EVT0014,Cyclone,India - Gopalpur,High,2023-11-08,2023-11-11,AUS_GOP_CAP;AUS_GOP_PAN;IND_GOP_CAP;IND_GOP_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;RUS_GOP_CAP;RUS_GOP_PAN;USA_GOP_CAP;USA_GOP_PAN
EVT0015,Cyclone,India - Gopalpur,High,2023-12-20,2023-12-23,AUS_GOP_CAP;AUS_GOP_PAN;IND_GOP_CAP;IND_GOP_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;RUS_GOP_CAP;RUS_GOP_PAN;USA_GOP_CAP;USA_GOP_PAN
EVT0016,Cyclone,India - Gopalpur,High,2024-11-06,2024-11-09,AUS_GOP_CAP;AUS_GOP_PAN;IND_GOP_CAP;IND_GOP_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;RUS_GOP_CAP;RUS_GOP_PAN;USA_GOP_CAP;USA_GOP_PAN
EVT0017,Cyclone,India - Haldia,High,2020-11-11,2020-11-14,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0018,Cyclone,India - Haldia,High,2021-10-13,2021-10-16,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0019,Cyclone,India - Haldia,High,2022-10-12,2022-10-15,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0020,Cyclone,India - Haldia,High,2022-10-19,2022-10-22,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0021,Cyclone,India - Haldia,High,2022-11-16,2022-11-19,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0022,Cyclone,India - Haldia,High,2023-11-08,2023-11-11,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0023,Cyclone,India - Haldia,High,2024-10-30,2024-11-02,AUS_HAL_CAP;AUS_HAL_PAN;IND_HAL_CAP;IND_HAL_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;RUS_HAL_CAP;RUS_HAL_PAN;USA_HAL_CAP;USA_HAL_PAN
EVT0024,Cyclone,India - Paradip,High,2021-11-17,2021-11-20,AUS_PAR_CAP;AUS_PAR_PAN;IND_PAR_CAP;IND_PAR_PAN;MOZ_PAR_CAP;MOZ_PAR_PAN;RUS_PAR_CAP;RUS_PAR_PAN;USA_PAR_CAP;USA_PAR_PAN
EVT0025,Cyclone,India - Vizag,High,2020-10-07,2020-10-10,AUS_VIZ_CAP;AUS_VIZ_PAN;IND_VIZ_CAP;IND_VIZ_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;USA_VIZ_CAP;USA_VIZ_PAN
EVT0026,Cyclone,India - Vizag,High,2020-11-18,2020-11-21,AUS_VIZ_CAP;AUS_VIZ_PAN;IND_VIZ_CAP;IND_VIZ_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;USA_VIZ_CAP;USA_VIZ_PAN
EVT0027,Cyclone,India - Vizag,High,2021-12-22,2021-12-25,AUS_VIZ_CAP;AUS_VIZ_PAN;IND_VIZ_CAP;IND_VIZ_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;USA_VIZ_CAP;USA_VIZ_PAN
EVT0028,Cyclone,India - Vizag,High,2023-10-11,2023-10-14,AUS_VIZ_CAP;AUS_VIZ_PAN;IND_VIZ_CAP;IND_VIZ_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;USA_VIZ_CAP;USA_VIZ_PAN
EVT0029,Cyclone,India - Vizag,High,2023-11-01,2023-11-04,AUS_VIZ_CAP;AUS_VIZ_PAN;IND_VIZ_CAP;IND_VIZ_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;USA_VIZ_CAP;USA_VIZ_PAN
EVT0030,Pandemic Disruption,Global,High,2020-03-15,2020-06-30,AUS_DHA_CAP;AUS_DHA_PAN;AUS_GAN_CAP;AUS_GAN_PAN;AUS_GOP_CAP;AUS_GOP_PAN;AUS_HAL_CAP;AUS_HAL_PAN;AUS_PAR_CAP;AUS_PAR_PAN;AUS_VIZ_CAP;AUS_VIZ_PAN;IND_DHA_CAP;IND_DHA_PAN;IND_GAN_CAP;IND_GAN_PAN;IND_GOP_CAP;IND_GOP_PAN;IND_HAL_CAP;IND_HAL_PAN;IND_PAR_CAP;IND_PAR_PAN;IND_VIZ_CAP;IND_VIZ_PAN;MOZ_DHA_CAP;MOZ_DHA_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;MOZ_PAR_CAP;MOZ_PAR_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN;RUS_DHA_CAP;RUS_DHA_PAN;RUS_GAN_CAP;RUS_GAN_PAN;RUS_GOP_CAP;RUS_GOP_PAN;RUS_HAL_CAP;RUS_HAL_PAN;RUS_PAR_CAP;RUS_PAR_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;USA_DHA_CAP;USA_DHA_PAN;USA_GAN_CAP;USA_GAN_PAN;USA_GOP_CAP;USA_GOP_PAN;USA_HAL_CAP;USA_HAL_PAN;USA_PAR_CAP;USA_PAR_PAN;USA_VIZ_CAP;USA_VIZ_PAN
EVT0031,Trade Restriction,Australia-China,Medium,2020-10-14,2021-06-30,AUS_DHA_CAP;AUS_DHA_PAN;AUS_GAN_CAP;AUS_GAN_PAN;AUS_GOP_CAP;AUS_GOP_PAN;AUS_HAL_CAP;AUS_HAL_PAN;AUS_PAR_CAP;AUS_PAR_PAN;AUS_VIZ_CAP;AUS_VIZ_PAN
EVT0032,Armed Conflict,Russia-Ukraine,High,2022-02-24,2025-10-31,RUS_DHA_CAP;RUS_DHA_PAN;RUS_GAN_CAP;RUS_GAN_PAN;RUS_GOP_CAP;RUS_GOP_PAN;RUS_HAL_CAP;RUS_HAL_PAN;RUS_PAR_CAP;RUS_PAR_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN
EVT0033,Shipping Route Disruption,Red Sea,High,2023-11-19,2024-12-31,RUS_DHA_CAP;RUS_DHA_PAN;RUS_GAN_CAP;RUS_GAN_PAN;RUS_GOP_CAP;RUS_GOP_PAN;RUS_HAL_CAP;RUS_HAL_PAN;RUS_PAR_CAP;RUS_PAR_PAN;RUS_VIZ_CAP;RUS_VIZ_PAN;MOZ_DHA_CAP;MOZ_DHA_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;MOZ_GOP_CAP;MOZ_GOP_PAN;MOZ_HAL_CAP;MOZ_HAL_PAN;MOZ_PAR_CAP;MOZ_PAR_PAN;MOZ_VIZ_CAP;MOZ_VIZ_PAN
EVT0034,Port Strike,USA East Coast,Medium,2024-10-01,2024-10-05,USA_DHA_CAP;USA_DHA_PAN;USA_GAN_CAP;USA_GAN_PAN;USA_GOP_CAP;USA_GOP_PAN;USA_HAL_CAP;USA_HAL_PAN;USA_PAR_CAP;USA_PAR_PAN;USA_VIZ_CAP;USA_VIZ_PAN
