date,route,vessel_class,period,price
2020-01-01,Indonesia-Dhamra,Panamax,1M,10.07
2020-01-01,Indonesia-Dhamra,Panamax,3M,10.13
2020-01-01,Indonesia-Dhamra,Panamax,6M,10.33
2020-01-01,Indonesia-Dhamra,Panamax,1Y,10.23
2020-01-01,Indonesia-Dhamra,Capesize,1M,10.41
2020-01-01,Indonesia-Dhamra,Capesize,3M,10.41
2020-01-01,Indonesia-Dhamra,Capesize,6M,10.25
2020-01-01,Indonesia-Dhamra,Capesize,1Y,10.8
2020-01-01,Indonesia-Gangavaram,Panamax,1M,11.29
2020-01-01,Indonesia-Gangavaram,Panamax,3M,11.8
2020-01-01,Indonesia-Gangavaram,Panamax,6M,11.73
2020-01-01,Indonesia-Gangavaram,Panamax,1Y,12.01
2020-01-01,Indonesia-Gangavaram,Capesize,1M,12.9
2020-01-01,Indonesia-Gangavaram,Capesize,3M,12.91
2020-01-01,Indonesia-Gangavaram,Capesize,6M,12.81
2020-01-01,Indonesia-Gangavaram,Capesize,1Y,13.05
2020-01-01,Indonesia-Gopalpur,Panamax,1M,10.34
2020-01-01,Indonesia-Gopalpur,Panamax,3M,10.79
2020-01-01,Indonesia-Gopalpur,Panamax,6M,10.79
2020-01-01,Indonesia-Gopalpur,Panamax,1Y,10.75
2020-01-01,Indonesia-Gopalpur,Capesize,1M,8.87
2020-01-01,Indonesia-Gopalpur,Capesize,3M,9.2
2020-01-01,Indonesia-Gopalpur,Capesize,6M,9.27
2020-01-01,Indonesia-Gopalpur,Capesize,1Y,9.6
2020-01-01,Indonesia-Haldia,Panamax,1M,11.5
2020-01-01,Indonesia-Haldia,Panamax,3M,11.64
2020-01-01,Indonesia-Haldia,Panamax,6M,12.01
2020-01-01,Indonesia-Haldia,Panamax,1Y,12.18
2020-01-01,Indonesia-Haldia,Capesize,1M,11.22
2020-01-01,Indonesia-Haldia,Capesize,3M,11.36
2020-01-01,Indonesia-Haldia,Capesize,6M,11.11
2020-01-01,Indonesia-Haldia,Capesize,1Y,11.07
2020-01-01,Russia-Paradip,Panamax,1M,19.8
2020-01-01,Russia-Paradip,Panamax,3M,19.74
2020-01-01,Russia-Paradip,Panamax,6M,20.25
2020-01-01,Russia-Paradip,Panamax,1Y,19.71
2020-01-01,Russia-Paradip,Capesize,1M,22.04
2020-01-01,Russia-Paradip,Capesize,3M,22.33
2020-01-01,Russia-Paradip,Capesize,6M,22.32
2020-01-01,Russia-Paradip,Capesize,1Y,23.14
2020-01-01,Russia-Vizag,Panamax,1M,20.76
2020-01-01,Russia-Vizag,Panamax,3M,21.01
2020-01-01,Russia-Vizag,Panamax,6M,21.57
2020-01-01,Russia-Vizag,Panamax,1Y,21.99
2020-01-01,Russia-Vizag,Capesize,1M,21.51
2020-01-01,Russia-Vizag,Capesize,3M,21.44
2020-01-01,Russia-Vizag,Capesize,6M,21.57
2020-01-01,Russia-Vizag,Capesize,1Y,22.13
2020-01-01,Russia-Dhamra,Panamax,1M,21.94
2020-01-01,Russia-Dhamra,Panamax,3M,21.79
2020-01-01,Russia-Dhamra,Panamax,6M,22.4
2020-01-01,Russia-Dhamra,Panamax,1Y,23.02
2020-01-01,Russia-Dhamra,Capesize,1M,21.21
2020-01-01,Russia-Dhamra,Capesize,3M,21.19
2020-01-01,Russia-Dhamra,Capesize,6M,21.97
2020-01-01,Russia-Dhamra,Capesize,1Y,21.94
2020-01-01,Russia-Gangavaram,Panamax,1M,22.38
2020-01-01,Russia-Gangavaram,Panamax,3M,23.07
2020-01-01,Russia-Gangavaram,Panamax,6M,22.85
2020-01-01,Russia-Gangavaram,Panamax,1Y,23.97
2020-01-01,Russia-Gangavaram,Capesize,1M,23.25
2020-01-01,Russia-Gangavaram,Capesize,3M,23.7
2020-01-01,Russia-Gangavaram,Capesize,6M,24.34
2020-01-01,Russia-Gangavaram,Capesize,1Y,24.8
2020-01-01,Russia-Gopalpur,Panamax,1M,20.84
2020-01-01,Russia-Gopalpur,Panamax,3M,20.32
2020-01-01,Russia-Gopalpur,Panamax,6M,21.13
2020-01-01,Russia-Gopalpur,Panamax,1Y,21.31
2020-01-01,Russia-Gopalpur,Capesize,1M,24.66
2020-01-01,Russia-Gopalpur,Capesize,3M,25.16
2020-01-01,Russia-Gopalpur,Capesize,6M,25.07
2020-01-01,Russia-Gopalpur,Capesize,1Y,25.53
2020-01-01,Russia-Haldia,Panamax,1M,22.24
2020-01-01,Russia-Haldia,Panamax,3M,22.5
2020-01-01,Russia-Haldia,Panamax,6M,22.35
2020-01-01,Russia-Haldia,Panamax,1Y,23.24
2020-01-01,Russia-Haldia,Capesize,1M,19.68
2020-01-01,Russia-Haldia,Capesize,3M,19.61
2020-01-01,Russia-Haldia,Capesize,6M,20.19
2020-01-01,Russia-Haldia,Capesize,1Y,21.08
2020-01-01,Mozambique-Paradip,Panamax,1M,19.43
2020-01-01,Mozambique-Paradip,Panamax,3M,19.13
2020-01-01,Mozambique-Paradip,Panamax,6M,20.26
2020-01-01,Mozambique-Paradip,Panamax,1Y,20.34
2020-01-01,Mozambique-Paradip,Capesize,1M,19.73
2020-01-01,Mozambique-Paradip,Capesize,3M,19.61
2020-01-01,Mozambique-Paradip,Capesize,6M,20.1
2020-01-01,Mozambique-Paradip,Capesize,1Y,20.85
2020-01-01,Mozambique-Vizag,Panamax,1M,20.36
2020-01-01,Mozambique-Vizag,Panamax,3M,21.01
2020-01-01,Mozambique-Vizag,Panamax,6M,21.11
2020-01-01,Mozambique-Vizag,Panamax,1Y,21.12
2020-01-01,Mozambique-Vizag,Capesize,1M,18.96
2020-01-01,Mozambique-Vizag,Capesize,3M,19.28
2020-01-01,Mozambique-Vizag,Capesize,6M,19.03
2020-01-01,Mozambique-Vizag,Capesize,1Y,20.02
2020-01-01,Mozambique-Dhamra,Panamax,1M,20.68
2020-01-01,Mozambique-Dhamra,Panamax,3M,21.66
2020-01-01,Mozambique-Dhamra,Panamax,6M,21.69
2020-01-01,Mozambique-Dhamra,Panamax,1Y,21.99
2020-01-01,Mozambique-Dhamra,Capesize,1M,20.29
2020-01-01,Mozambique-Dhamra,Capesize,3M,20.5
2020-01-01,Mozambique-Dhamra,Capesize,6M,20.23
2020-01-01,Mozambique-Dhamra,Capesize,1Y,21.36
2020-01-01,Mozambique-Gangavaram,Panamax,1M,22.1
2020-01-01,Mozambique-Gangavaram,Panamax,3M,22.57
2020-01-01,Mozambique-Gangavaram,Panamax,6M,22.96
2020-01-01,Mozambique-Gangavaram,Panamax,1Y,23.11
2020-01-01,Mozambique-Gangavaram,Capesize,1M,19.91
2020-01-01,Mozambique-Gangavaram,Capesize,3M,20.54
2020-01-01,Mozambique-Gangavaram,Capesize,6M,20.42
2020-01-01,Mozambique-Gangavaram,Capesize,1Y,20.81
2020-01-01,Mozambique-Gopalpur,Panamax,1M,21.13
2020-01-01,Mozambique-Gopalpur,Panamax,3M,22.12
2020-01-01,Mozambique-Gopalpur,Panamax,6M,21.74
2020-01-01,Mozambique-Gopalpur,Panamax,1Y,23.07
2020-01-01,Mozambique-Gopalpur,Capesize,1M,21.63
2020-01-01,Mozambique-Gopalpur,Capesize,3M,21.98
2020-01-01,Mozambique-Gopalpur,Capesize,6M,22.4
2020-01-01,Mozambique-Gopalpur,Capesize,1Y,22.56
2020-01-01,Mozambique-Haldia,Panamax,1M,21.31
2020-01-01,Mozambique-Haldia,Panamax,3M,21.64
2020-01-01,Mozambique-Haldia,Panamax,6M,21.97
2020-01-01,Mozambique-Haldia,Panamax,1Y,22.61
2020-01-01,Mozambique-Haldia,Capesize,1M,20.14
2020-01-01,Mozambique-Haldia,Capesize,3M,20.24
2020-01-01,Mozambique-Haldia,Capesize,6M,20.33
2020-01-01,Mozambique-Haldia,Capesize,1Y,20.88
2020-01-01,USA-Paradip,Panamax,1M,28.59
2020-01-01,USA-Paradip,Panamax,3M,29.63
2020-01-01,USA-Paradip,Panamax,6M,29.95
2020-01-01,USA-Paradip,Panamax,1Y,30.32
2020-01-01,USA-Paradip,Capesize,1M,30.98
2020-01-01,USA-Paradip,Capesize,3M,30.73
2020-01-01,USA-Paradip,Capesize,6M,30.82
2020-01-01,USA-Paradip,Capesize,1Y,32.41
2020-01-01,USA-Vizag,Panamax,1M,36.53
2020-01-01,USA-Vizag,Panamax,3M,37.14
2020-01-01,USA-Vizag,Panamax,6M,36.77
2020-01-01,USA-Vizag,Panamax,1Y,38.92
2020-01-01,USA-Vizag,Capesize,1M,33.38
2020-01-01,USA-Vizag,Capesize,3M,34.45
2020-01-01,USA-Vizag,Capesize,6M,35.19
2020-01-01,USA-Vizag,Capesize,1Y,35.04
2020-01-01,USA-Dhamra,Panamax,1M,36.64
2020-01-01,USA-Dhamra,Panamax,3M,36.76
2020-01-01,USA-Dhamra,Panamax,6M,38.56
2020-01-01,USA-Dhamra,Panamax,1Y,38.21
2020-01-01,USA-Dhamra,Capesize,1M,34.98
2020-01-01,USA-Dhamra,Capesize,3M,35.11
2020-01-01,USA-Dhamra,Capesize,6M,33.47
2020-01-01,USA-Dhamra,Capesize,1Y,36.1
2020-01-01,USA-Gangavaram,Panamax,1M,32.29
2020-01-01,USA-Gangavaram,Panamax,3M,32.63
2020-01-01,USA-Gangavaram,Panamax,6M,32.78
2020-01-01,USA-Gangavaram,Panamax,1Y,33.61
2020-01-01,USA-Gangavaram,Capesize,1M,29.93
2020-01-01,USA-Gangavaram,Capesize,3M,31.02
2020-01-01,USA-Gangavaram,Capesize,6M,30.78
2020-01-01,USA-Gangavaram,Capesize,1Y,31.72
2020-01-01,USA-Gopalpur,Panamax,1M,30.06
2020-01-01,USA-Gopalpur,Panamax,3M,29.69
2020-01-01,USA-Gopalpur,Panamax,6M,29.4
2020-01-01,USA-Gopalpur,Panamax,1Y,30.64
2020-01-01,USA-Gopalpur,Capesize,1M,29.79
2020-01-01,USA-Gopalpur,Capesize,3M,30.88
2020-01-01,USA-Gopalpur,Capesize,6M,31.78
2020-01-01,USA-Gopalpur,Capesize,1Y,31.2
2020-01-01,USA-Haldia,Panamax,1M,36.79
2020-01-01,USA-Haldia,Panamax,3M,36.73
2020-01-01,USA-Haldia,Panamax,6M,37.71
2020-01-01,USA-Haldia,Panamax,1Y,38.54
2020-01-01,USA-Haldia,Capesize,1M,31.67
2020-01-01,USA-Haldia,Capesize,3M,31.76
2020-01-01,USA-Haldia,Capesize,6M,31.26
2020-01-01,USA-Haldia,Capesize,1Y,32.39
2020-01-31,Australia-Paradip,Panamax,1M,18.59
2020-01-31,Australia-Paradip,Panamax,3M,19.15
2020-01-31,Australia-Paradip,Panamax,6M,18.5
2020-01-31,Australia-Paradip,Panamax,1Y,19.79
2020-01-31,Australia-Paradip,Capesize,1M,16.6
2020-01-31,Australia-Paradip,Capesize,3M,16.52
2020-01-31,Australia-Paradip,Capesize,6M,17.52
2020-01-31,Australia-Paradip,Capesize,1Y,17.56
2020-01-31,Australia-Vizag,Panamax,1M,16.25
2020-01-31,Australia-Vizag,Panamax,3M,16.73
2020-01-31,Australia-Vizag,Panamax,6M,16.98
2020-01-31,Australia-Vizag,Panamax,1Y,16.78
2020-01-31,Australia-Vizag,Capesize,1M,18.59
2020-01-31,Australia-Vizag,Capesize,3M,18.15
2020-01-31,Australia-Vizag,Capesize,6M,18.82
2020-01-31,Australia-Vizag,Capesize,1Y,18.78
2020-01-31,Australia-Dhamra,Panamax,1M,15.05
2020-01-31,Australia-Dhamra,Panamax,3M,15.44
2020-01-31,Australia-Dhamra,Panamax,6M,15.62
2020-01-31,Australia-Dhamra,Panamax,1Y,16.08
2020-01-31,Australia-Dhamra,Capesize,1M,15.82
2020-01-31,Australia-Dhamra,Capesize,3M,16.15
2020-01-31,Australia-Dhamra,Capesize,6M,16.65
2020-01-31,Australia-Dhamra,Capesize,1Y,16.8
2020-01-31,Australia-Gangavaram,Panamax,1M,16.42
2020-01-31,Australia-Gangavaram,Panamax,3M,16.84
2020-01-31,Australia-Gangavaram,Panamax,6M,16.54
2020-01-31,Australia-Gangavaram,Panamax,1Y,17.74
2020-01-31,Australia-Gangavaram,Capesize,1M,14.24
2020-01-31,Australia-Gangavaram,Capesize,3M,14.63
2020-01-31,Australia-Gangavaram,Capesize,6M,14.66
2020-01-31,Australia-Gangavaram,Capesize,1Y,15.21
2020-01-31,Australia-Gopalpur,Panamax,1M,13.83
2020-01-31,Australia-Gopalpur,Panamax,3M,13.89
2020-01-31,Australia-Gopalpur,Panamax,6M,14.26
2020-01-31,Australia-Gopalpur,Panamax,1Y,14.61
2020-01-31,Australia-Gopalpur,Capesize,1M,17.38
2020-01-31,Australia-Gopalpur,Capesize,3M,18.16
2020-01-31,Australia-Gopalpur,Capesize,6M,17.98
2020-01-31,Australia-Gopalpur,Capesize,1Y,18.5
2020-01-31,Australia-Haldia,Panamax,1M,18.63
2020-01-31,Australia-Haldia,Panamax,3M,18.74
2020-01-31,Australia-Haldia,Panamax,6M,18.58
2020-01-31,Australia-Haldia,Panamax,1Y,19.46
2020-01-31,Australia-Haldia,Capesize,1M,13.99
2020-01-31,Australia-Haldia,Capesize,3M,14.25
2020-01-31,Australia-Haldia,Capesize,6M,14.67
2020-01-31,Australia-Haldia,Capesize,1Y,14.84
2020-01-31,Indonesia-Paradip,Panamax,1M,8.49
2020-01-31,Indonesia-Paradip,Panamax,3M,8.68
2020-01-31,Indonesia-Paradip,Panamax,6M,8.68
2020-01-31,Indonesia-Paradip,Panamax,1Y,9.13
2020-01-31,Indonesia-Paradip,Capesize,1M,10.24
2020-01-31,Indonesia-Paradip,Capesize,3M,10.4
2020-01-31,Indonesia-Paradip,Capesize,6M,10.39
2020-01-31,Indonesia-Paradip,Capesize,1Y,10.62
2020-01-31,Indonesia-Vizag,Panamax,1M,11.77
2020-01-31,Indonesia-Vizag,Panamax,3M,11.58
2020-01-31,Indonesia-Vizag,Panamax,6M,11.89
2020-01-31,Indonesia-Vizag,Panamax,1Y,12.02
2020-01-31,Indonesia-Vizag,Capesize,1M,10.26
2020-01-31,Indonesia-Vizag,Capesize,3M,10.22
2020-01-31,Indonesia-Vizag,Capesize,6M,10.72
2020-01-31,Indonesia-Vizag,Capesize,1Y,10.47
2020-01-31,Indonesia-Dhamra,Panamax,1M,9.97
2020-01-31,Indonesia-Dhamra,Panamax,3M,10.2
2020-01-31,Indonesia-Dhamra,Panamax,6M,10.38
2020-01-31,Indonesia-Dhamra,Panamax,1Y,10.45
2020-01-31,Indonesia-Dhamra,Capesize,1M,10.56
2020-01-31,Indonesia-Dhamra,Capesize,3M,10.86
2020-01-31,Indonesia-Dhamra,Capesize,6M,10.88
2020-01-31,Indonesia-Dhamra,Capesize,1Y,11.15
2020-01-31,Indonesia-Gangavaram,Panamax,1M,11.33
2020-01-31,Indonesia-Gangavaram,Panamax,3M,10.81
2020-01-31,Indonesia-Gangavaram,Panamax,6M,11.27
2020-01-31,Indonesia-Gangavaram,Panamax,1Y,11.56
2020-01-31,Indonesia-Gangavaram,Capesize,1M,11.48
2020-01-31,Indonesia-Gangavaram,Capesize,3M,11.6
2020-01-31,Indonesia-Gangavaram,Capesize,6M,11.97
2020-01-31,Indonesia-Gangavaram,Capesize,1Y,11.97
2020-01-31,Indonesia-Gopalpur,Panamax,1M,9.83
2020-01-31,Indonesia-Gopalpur,Panamax,3M,10.14
2020-01-31,Indonesia-Gopalpur,Panamax,6M,10.36
2020-01-31,Indonesia-Gopalpur,Panamax,1Y,10.44
2020-01-31,Indonesia-Gopalpur,Capesize,1M,8.42
2020-01-31,Indonesia-Gopalpur,Capesize,3M,8.61
2020-01-31,Indonesia-Gopalpur,Capesize,6M,8.6
2020-01-31,Indonesia-Gopalpur,Capesize,1Y,8.86
2020-01-31,Indonesia-Haldia,Panamax,1M,11.4
2020-01-31,Indonesia-Haldia,Panamax,3M,11.29
2020-01-31,Indonesia-Haldia,Panamax,6M,11.24
2020-01-31,Indonesia-Haldia,Panamax,1Y,11.97
2020-01-31,Indonesia-Haldia,Capesize,1M,10.0
2020-01-31,Indonesia-Haldia,Capesize,3M,9.92
2020-01-31,Indonesia-Haldia,Capesize,6M,9.92
2020-01-31,Indonesia-Haldia,Capesize,1Y,10.34
2020-01-31,Russia-Paradip,Panamax,1M,22.52
2020-01-31,Russia-Paradip,Panamax,3M,22.84
2020-01-31,Russia-Paradip,Panamax,6M,23.02
2020-01-31,Russia-Paradip,Panamax,1Y,23.19
2020-01-31,Russia-Paradip,Capesize,1M,25.34
2020-01-31,Russia-Paradip,Capesize,3M,25.15
2020-01-31,Russia-Paradip,Capesize,6M,25.71
2020-01-31,Russia-Paradip,Capesize,1Y,26.33
2020-01-31,Russia-Vizag,Panamax,1M,24.09
2020-01-31,Russia-Vizag,Panamax,3M,23.45
2020-01-31,Russia-Vizag,Panamax,6M,24.86
2020-01-31,Russia-Vizag,Panamax,1Y,24.98
2020-01-31,Russia-Vizag,Capesize,1M,24.89
2020-01-31,Russia-Vizag,Capesize,3M,25.11
2020-01-31,Russia-Vizag,Capesize,6M,25.68
2020-01-31,Russia-Vizag,Capesize,1Y,26.24
2020-01-31,Russia-Dhamra,Panamax,1M,22.77
2020-01-31,Russia-Dhamra,Panamax,3M,22.14
2020-01-31,Russia-Dhamra,Panamax,6M,22.85
2020-01-31,Russia-Dhamra,Panamax,1Y,23.59
2020-01-31,Russia-Dhamra,Capesize,1M,24.01
2020-01-31,Russia-Dhamra,Capesize,3M,24.08
2020-01-31,Russia-Dhamra,Capesize,6M,24.12
2020-01-31,Russia-Dhamra,Capesize,1Y,24.74
2020-01-31,Russia-Gangavaram,Panamax,1M,21.3
2020-01-31,Russia-Gangavaram,Panamax,3M,22.27
2020-01-31,Russia-Gangavaram,Panamax,6M,22.21
2020-01-31,Russia-Gangavaram,Panamax,1Y,22.47
2020-01-31,Russia-Gangavaram,Capesize,1M,20.39
2020-01-31,Russia-Gangavaram,Capesize,3M,20.76
2020-01-31,Russia-Gangavaram,Capesize,6M,21.1
2020-01-31,Russia-Gangavaram,Capesize,1Y,21.42
2020-01-31,Russia-Gopalpur,Panamax,1M,22.11
2020-01-31,Russia-Gopalpur,Panamax,3M,22.47
2020-01-31,Russia-Gopalpur,Panamax,6M,22.33
2020-01-31,Russia-Gopalpur,Panamax,1Y,22.05
2020-01-31,Russia-Gopalpur,Capesize,1M,19.55
2020-01-31,Russia-Gopalpur,Capesize,3M,19.38
2020-01-31,Russia-Gopalpur,Capesize,6M,19.73
2020-01-31,Russia-Gopalpur,Capesize,1Y,20.7
2020-01-31,Russia-Haldia,Panamax,1M,22.03
2020-01-31,Russia-Haldia,Panamax,3M,22.38
2020-01-31,Russia-Haldia,Panamax,6M,22.86
2020-01-31,Russia-Haldia,Panamax,1Y,23.81
2020-01-31,Russia-Haldia,Capesize,1M,22.78
2020-01-31,Russia-Haldia,Capesize,3M,22.45
2020-01-31,Russia-Haldia,Capesize,6M,23.51
2020-01-31,Russia-Haldia,Capesize,1Y,24.07
2020-01-31,Mozambique-Paradip,Panamax,1M,24.25
2020-01-31,Mozambique-Paradip,Panamax,3M,24.07
2020-01-31,Mozambique-Paradip,Panamax,6M,24.68
2020-01-31,Mozambique-Paradip,Panamax,1Y,24.53
2020-01-31,Mozambique-Paradip,Capesize,1M,19.96
2020-01-31,Mozambique-Paradip,Capesize,3M,20.25
2020-01-31,Mozambique-Paradip,Capesize,6M,20.0
2020-01-31,Mozambique-Paradip,Capesize,1Y,20.36
2020-01-31,Mozambique-Vizag,Panamax,1M,21.27
2020-01-31,Mozambique-Vizag,Panamax,3M,20.85
2020-01-31,Mozambique-Vizag,Panamax,6M,21.01
2020-01-31,Mozambique-Vizag,Panamax,1Y,21.73
2020-01-31,Mozambique-Vizag,Capesize,1M,19.72
2020-01-31,Mozambique-Vizag,Capesize,3M,20.01
2020-01-31,Mozambique-Vizag,Capesize,6M,19.79
2020-01-31,Mozambique-Vizag,Capesize,1Y,20.48
2020-01-31,Mozambique-Dhamra,Panamax,1M,18.12
2020-01-31,Mozambique-Dhamra,Panamax,3M,18.23
2020-01-31,Mozambique-Dhamra,Panamax,6M,19.43
2020-01-31,Mozambique-Dhamra,Panamax,1Y,18.9
2020-01-31,Mozambique-Dhamra,Capesize,1M,18.32
2020-01-31,Mozambique-Dhamra,Capesize,3M,19.04
2020-01-31,Mozambique-Dhamra,Capesize,6M,18.92
2020-01-31,Mozambique-Dhamra,Capesize,1Y,19.72
2020-01-31,Mozambique-Gangavaram,Panamax,1M,21.48
2020-01-31,Mozambique-Gangavaram,Panamax,3M,22.18
2020-01-31,Mozambique-Gangavaram,Panamax,6M,23.15
2020-01-31,Mozambique-Gangavaram,Panamax,1Y,23.33
2020-01-31,Mozambique-Gangavaram,Capesize,1M,21.51
2020-01-31,Mozambique-Gangavaram,Capesize,3M,22.54
2020-01-31,Mozambique-Gangavaram,Capesize,6M,22.61
2020-01-31,Mozambique-Gangavaram,Capesize,1Y,22.58
2020-01-31,Mozambique-Gopalpur,Panamax,1M,21.54
2020-01-31,Mozambique-Gopalpur,Panamax,3M,21.59
2020-01-31,Mozambique-Gopalpur,Panamax,6M,21.18
2020-01-31,Mozambique-Gopalpur,Panamax,1Y,21.77
2020-01-31,Mozambique-Gopalpur,Capesize,1M,22.04
2020-01-31,Mozambique-Gopalpur,Capesize,3M,21.84
2020-01-31,Mozambique-Gopalpur,Capesize,6M,21.88
2020-01-31,Mozambique-Gopalpur,Capesize,1Y,22.69
2020-01-31,Mozambique-Haldia,Panamax,1M,19.6
2020-01-31,Mozambique-Haldia,Panamax,3M,19.62
2020-01-31,Mozambique-Haldia,Panamax,6M,19.47
2020-01-31,Mozambique-Haldia,Panamax,1Y,19.42
2020-01-31,Mozambique-Haldia,Capesize,1M,20.43
2020-01-31,Mozambique-Haldia,Capesize,3M,20.32
2020-01-31,Mozambique-Haldia,Capesize,6M,20.85
2020-01-31,Mozambique-Haldia,Capesize,1Y,20.97
2020-01-31,USA-Paradip,Panamax,1M,32.32
2020-01-31,USA-Paradip,Panamax,3M,33.01
2020-01-31,USA-Paradip,Panamax,6M,32.86
2020-01-31,USA-Paradip,Panamax,1Y,33.61
2020-01-31,USA-Paradip,Capesize,1M,29.62
2020-01-31,USA-Paradip,Capesize,3M,29.33
2020-01-31,USA-Paradip,Capesize,6M,31.13
2020-01-31,USA-Paradip,Capesize,1Y,31.75
2020-01-31,USA-Vizag,Panamax,1M,34.26
2020-01-31,USA-Vizag,Panamax,3M,34.69
2020-01-31,USA-Vizag,Panamax,6M,36.48
2020-01-31,USA-Vizag,Panamax,1Y,36.24
2020-01-31,USA-Vizag,Capesize,1M,31.16
2020-01-31,USA-Vizag,Capesize,3M,31.07
2020-01-31,USA-Vizag,Capesize,6M,32.82
2020-01-31,USA-Vizag,Capesize,1Y,33.24
2020-01-31,USA-Dhamra,Panamax,1M,35.36
2020-01-31,USA-Dhamra,Panamax,3M,36.55
2020-01-31,USA-Dhamra,Panamax,6M,36.01
2020-01-31,USA-Dhamra,Panamax,1Y,37.07
2020-01-31,USA-Dhamra,Capesize,1M,30.39
2020-01-31,USA-Dhamra,Capesize,3M,30.06
2020-01-31,USA-Dhamra,Capesize,6M,30.17
2020-01-31,USA-Dhamra,Capesize,1Y,30.41
2020-01-31,USA-Gangavaram,Panamax,1M,29.71
2020-01-31,USA-Gangavaram,Panamax,3M,29.64
2020-01-31,USA-Gangavaram,Panamax,6M,29.47
2020-01-31,USA-Gangavaram,Panamax,1Y,31.55
2020-01-31,USA-Gangavaram,Capesize,1M,36.26
2020-01-31,USA-Gangavaram,Capesize,3M,36.72
2020-01-31,USA-Gangavaram,Capesize,6M,37.62
2020-01-31,USA-Gangavaram,Capesize,1Y,37.96
2020-01-31,USA-Gopalpur,Panamax,1M,33.22
2020-01-31,USA-Gopalpur,Panamax,3M,33.74
2020-01-31,USA-Gopalpur,Panamax,6M,33.61
2020-01-31,USA-Gopalpur,Panamax,1Y,34.04
2020-01-31,USA-Gopalpur,Capesize,1M,32.41
2020-01-31,USA-Gopalpur,Capesize,3M,33.41
